id,source_id,name,type_name,secteur_chefferie_commune_id
1,18,TSHAKU ZUKA,G,1
2,19,BUMBA KIFULU,G,2
3,1,BUKA TENGWA,G,1
4,2,BUKANGUMBI,G,1
5,3,KABUKULU,G,1
6,4,KABUNDINGANGA,G,1
7,5,KAKOMBI,G,1
8,6,KAMBUNDI TUMBI,G,1
9,7,KASOMBO,G,1
10,8,KITAKA,G,1
11,9,MUBANGA,G,1
12,10,MULASA MBAKA,G,1
13,11,MULAWA MFULU,G,1
14,12,MUTANGU TARI,G,1
15,13,MWANA BASILA,G,1
16,14,MWELA SHAKU  (MWELA TSAKA),G,1
17,15,NGIMA,G,1
18,16,TSHAKU KAKABATU,G,1
19,17,TSHAKU LUWEMBI,G,1
20,65,NZOMFO,G,3
21,67,KAHUMBU,G,4
22,68,KAMBA  NGUYA,G,4
23,69,MUFIKIDI,G,4
24,133,KABEMBA,G,5
25,84,KABANGA,G,6
26,85,KALAU,G,6
27,87,KAPELA,G,6
28,89,MULOBO  SHINDA,G,6
29,90,MWENDJILA,G,6
30,20,KAMBINDI LUKULA,G,2
31,21,KATAMBI,G,2
32,22,KIKWANZA,G,2
33,23,LOANDA,G,2
34,28,KANUNGU,G,7
35,29,KASAPULA,G,7
36,30,KIKOMBO,G,7
37,31,KIMBINGA,G,7
38,32,KISAMBO,G,7
39,34,MUDIKIKAMBA,G,7
40,35,GITOTO NGUNDA,G,8
41,36,KIANZA,G,8
42,37,MUTEBA YAVE NAWEJ,G,8
43,38,NGUNGI,G,8
44,39,PALANGA NENE,G,8
45,40,BUMBA,G,9
46,41,SHAMALENGE,G,9
47,61,KULUNDJI,G,3
48,99,MWANA WUTA,G,10
49,62,MWADI  KALUMBU,G,3
50,63,MWAMUFIYA,G,3
51,42,SHAMANGANDA,G,9
52,43,BINDU,G,11
53,44,KABONGO,G,11
54,49,KASASA,G,11
55,50,MUSEMVU,G,11
56,53,NAPASA,G,11
57,55,SHAMANZENZE,G,11
58,57,TSHFWAMESO,G,11
59,58,TSHIVUNDA,G,11
60,60,KAYITA,G,3
61,97,MANZENGELE NZADI,G,10
