id,source_id,name,type_name,territoire_ville_id
1,305201,GANAKETI,S,1
2,305202,LOBO,S,1
3,305301,KULINJI,S,2
4,305303,MULOSHI,H,2
5,305406,PANZI,S,3
6,305302,MWENDJILA,H,2
7,305203,MAZIAMO,S,1
8,305204,MUKOSO,S,1
9,305304,BANGU,S,2
10,305403,KASONGO-LUNDA,H,3
11,305306,BINDU,S,2
12,305405,KIBUNDA,S,3
13,305407,KASA,H,3
14,305305,MWAMUSHIKO,H,2
15,305103,PELENDE-NORD,H,4
16,305102,BUKANGA-LONZO,S,4
17,305101,DINGA,S,4
18,305402,SWA-TENDA,S,3
19,305401,KIZAMBA,S,3
20,305404,MAWANGA,S,3
21,305408,KINGULU,S,3
22,305104,KOLOKOSO,S,4
23,305105,MOSAMBA,S,4
24,305503,LUFUNA,S,5
25,305502,POPOKABAKA,S,5
26,305501,YONSO,S,5
27,303304,KIDZWEME,S,6
28,303302,KWANGO-KASAI,S,6
29,303303,KWILU-NTOBER,S,6
30,303305,MANZASAY,S,6
31,303301,WAMBA-FATUNDU,S,6
32,303108,DWE,S,7
33,303110,IMBONGO,S,7
34,303105,KILUNDA,S,7
35,303101,KIPUKA,S,7
36,303102,KWENGE,S,7
37,303107,KWILU  KIMBATA,S,7
38,303104,LUNIUNGU,S,7
39,303106,MIKWI,S,7
40,303109,NIADI NKARA,S,7
41,303103,NKO,S,7
42,303507,GUNGU,S,8
43,303512,KANDALE,S,8
44,303505,KILAMBA,S,8
45,303510,KILEMBE,S,8
46,303503,KISUNZU,S,8
47,303501,KOBO,S,8
48,303511,KONDO,S,8
49,303508,LOZO,S,8
50,303506,LUKAMBA,S,8
51,303502,MUDIKALUNGA,S,8
52,303504,MUNGINDU,S,8
53,303509,NGUDI,S,8
54,303408,BANGA,S,9
55,303409,BELO,S,9
56,303404,BULWEME,S,9
57,303403,KALANGANDA,S,9
58,303402,KANGA,S,9
59,303407,KAPIA,S,9
60,303411,KIPUKU,S,9
61,303412,MADIMBI,S,9
62,303406,MATEKO,S,9
63,303410,MUSANGA IDIOFA,S,9
64,303405,SEDZO,S,9
65,303401,YASA-LOKWA,S,9
66,303201,BINDUNGI,S,10
67,303208,KIBOLO,S,10
68,303202,KINZENGA,S,10
69,303209,KINZENZENGO,S,10
70,303203,KITOY,S,10
71,303210,MASI-MANIMBA,S,10
72,303204,MOKAMO,S,10
73,303205,MOSANGO,S,10
74,303206,PAY-KONGILA,S,10
75,303207,SUNGU,S,10
76,302601,BATEKE-NORD,H,11
77,302101,BASENGELE,S,12
78,302102,BOLIA,S,12
79,302103,INONGO,S,12
80,302201,BERONGE,S,13
81,302202,LUTOYI,S,13
82,302203,PENDJWA,S,13
83,302402,BADIA,H,14
84,302404,BATERE,H,14
85,302405,KEMBA,S,14
86,302403,LWABU,S,14
87,302401,MFIMI,S,14
88,302701,BATEKE-SUD (TWA),S,15
89,302501,BABOMA-NORD,H,16
90,302302,E.L.L (ENTRE LUKENIE LOKORO),S,17
91,302304,KANGARA,S,17
92,302303,LOKOLAMA,S,17
93,302301,LUKENIE,S,17
94,302801,MONGAMA,S,18
95,205202,KASANGULU,S,19
96,205201,LUILA,S,19
97,205203,LUKUNGA-MPUTU,S,19
98,205301,BENGA,S,20
99,205303,LUBISI,S,20
100,205302,LULA-LUMENE,S,20
101,203303,FUBU,S,21
102,203301,KAKONGO,S,21
103,203305,PHATU,S,21
104,203304,TSANGA-SUD,S,21
105,203302,TSUNDI-SUD,S,21
106,204305,BALARI,S,22
107,204304,DE LA KENGE,S,22
108,204307,KIMBANZA,S,22
109,204310,KIMUMBA,S,22
110,204302,KINKENGE,S,22
111,204306,KIVUNDA,S,22
112,204309,MBANZA-MONA,S,22
113,204301,MBANZA-MUEMBE,S,22
114,204308,MBANZA-NGOYO,S,22
115,204303,MONGO-LUALA,S,22
116,205106,KINKOSI-LUIDI,S,23
117,205101,MFIDI MALELE,S,23
118,205105,MFUMA,S,23
119,205103,NGEBA,S,23
120,205104,NGUFU,S,23
121,205102,WUNGU,S,23
122,204108,BOKO,S,24
123,204104,GOMBE-MATADI,S,24
124,204101,GOMBE-SUD,S,24
125,204107,KIVULU,S,24
126,204102,KWILU-NGONGO,S,24
127,204105,LUNZADI,S,24
128,204103,NTIMANSI,S,24
129,202401,ASSOLONGO,S,25
130,202403,BOMA-BUNGU,S,25
131,202402,DE LA MER,S,25
132,203201,BUNDI,S,26
133,203204,ISANGILA,S,26
134,203205,LUFU,S,26
135,203202,MBAVU,S,26
136,203203,NSUMBI,S,26
137,204202,BAMBOMA,S,27
138,204205,KIMPESE,S,27
139,204203,LUIMA,S,27
140,204201,PALABALA,S,27
141,204204,WOMBO,S,27
142,203107,BULA-NAKU,S,28
143,203106,LOANGO,S,28
144,203102,LUBOLO,S,28
145,203108,LUBUZI,S,28
146,203104,MADUDA,S,28
147,203105,MBANGA,S,28
148,203103,NGANDA-TSUNDI,S,28
149,203101,NZOBE-LUZI,S,28
150,402102,BASANKUSU,S,29
151,402103,GOMBALO,S,29
152,402101,WAKA BOKEKA,S,29
153,402403,EKONDA,S,30
154,402402,ELANGA,S,30
155,402401,LAC  NTOMBA,S,30
156,402203,BOLOMBA,S,31
157,402204,BUSIRA,S,31
158,402201,DIANGA,H,31
159,402205,LOSANGANIA,S,31
160,402202,MAMPOKO,S,31
161,402702,DZAMBA,S,32
162,402701,NGIRI,S,32
163,402301,BOKATOLA,S,33
164,402302,DUALI,S,33
165,402303,EUNGU,S,33
166,402501,BANUNU BOBANGI,S,34
167,402503,LUSANKANI,S,34
168,402502,MPAMA,S,34
169,402602,BANGALA,S,35
170,402603,MWEKO,S,35
171,402601,NDOBO,S,35
172,406304,BONGANDANGA,S,36
173,406302,BOSO - DJANOA,S,36
174,406301,BOSO - MELO,S,36
175,406303,BOSO SIMBA,S,36
176,406203,BANDA YOWA,S,37
177,406206,ITIMBIRI,S,37
178,406205,LOEKA,S,37
179,406201,MOLUA,S,37
180,406202,MONZAMBOLI,S,37
181,406204,YANDONGI,S,37
182,406103,MONGALA MOTIMA,S,38
183,406102,NGOMBE DOKO,S,38
184,406101,NGOMBE MOMBANGI,S,38
185,405402,BANDAS,S,39
186,405403,BILI,S,39
187,405401,BOSOBOLO,S,39
188,405302,BODANGABO,S,40
189,405303,BUSINGA,S,40
190,405301,KARAWA,S,40
191,405102,MOBAYI-MBONGO,S,41
192,405101,OTTO MBANZA,S,41
193,405201,ABUMOMBAZI,S,42
194,405203,WAPINDA,S,42
195,405202,YAKOMA,S,42
196,403203,BANZA,S,43
197,403202,BOLINGO,S,43
198,403206,BUDJALA,C,43
199,403205,MONGALA - KUMA,S,43
200,403201,NDOLO LIBOKO,S,43
201,403204,NGOMBE DOKO DE LIKIMI,S,43
202,403104,BANGA KUNGU,S,44
203,403101,BOWASE,S,44
204,403102,MBARI,S,44
205,403103,NGUYA,S,44
206,403304,BOMBOMA,S,45
207,403301,DONGO,S,45
208,403302,LUA,S,45
209,403305,MWANDA BOMOLE,S,45
210,403303,SONGO,S,45
211,403402,LIBENGE CENTRE,S,46
212,403403,LIBENGE NORD,S,46
213,403401,LIBENGE SUD,S,46
214,407201,BEFUMBO,S,47
215,407203,DUALE,S,47
216,407202,LOMAKO,S,47
217,407103,BOLUA,S,48
218,407101,DJERA,S,48
219,407102,LOFOY,S,48
220,407104,WINI,S,48
221,407504,LOLAKA,S,49
222,407501,LOOMBO,S,49
223,407503,LUANDO,S,49
224,407502,LUAY,S,49
225,407505,NKOLE,H,49
226,407303,DJOLU,S,50
227,407301,LINGOMO,S,50
228,407304,LUO,S,50
229,407302,YALA,S,50
230,407404,LOFOME,S,51
231,407403,LOILE,S,51
232,407402,LOKINA,S,51
233,407405,TSHUAPA,S,51
234,407401,TUMBENGA,S,51
235,407601,BIANGA,S,52
236,407603,MONKOTO,S,52
237,407602,NONGO,S,52
238,903206,BAKWA - NYAMBI,S,53
239,903203,BAPENDE,S,53
240,903210,KAMONIA,C,53
241,903209,KASADISADI,S,53
242,903204,KASAI - KABAMBAIE,S,53
243,903207,KASAI - LUNYEKA,S,53
244,903208,KASAI-LONGATSHIMO,S,53
245,903201,LOVUA-LONGATSHIMO,S,53
246,903202,LOVUA-LUSHIKU,S,53
247,903205,TSHIKAPA,S,53
248,903101,LUEBO-KABAMBAIE,S,54
249,903104,LUEBO-LULENGELE,S,54
250,903103,LUEBO-WEDI,S,54
251,903102,NDJOKO-PUNDA,S,54
252,903401,BAKUBA,H,55
253,903402,MWEKA,C,55
254,902402,BENA MAMBA,S,56
255,902408,DEMBA,C,56
256,902405,DIOFWA,S,56
257,902401,LOMBELO,S,56
258,902403,LUSONGE,S,56
259,902404,MUANZA - NGOMA,S,56
260,902407,TSHIBOTE,S,56
261,902406,TSHIBUNGU,S,56
