id,source_id,name,type_name,province_id
1,3052,FESHI,T,1
2,3053,KAHEMBA,T,1
3,3054,KASONGO-LUNDA,T,1
4,3051,KENGE,T,1
5,3055,POPOKABAKA,T,1
6,3033,BAGATA,T,2
7,3031,BULUNGU,T,2
8,3035,GUNGU,T,2
9,3034,IDIOFA,T,2
10,3032,MASI-MANIMBA,T,2
11,3026,BOLOBO,T,3
12,3021,INONGO,T,3
13,3022,KIRI,T,3
14,3024,KUTU,T,3
15,3027,KWAMOUTH,T,3
16,3025,MUSHIE,T,3
17,3023,OSHWE,T,3
18,3028,YUMBI,T,3
19,2052,KASANGULU,T,4
20,2053,KIMVULA,T,4
21,2033,LUKULA,T,4
22,2043,LUOZI,T,4
23,2051,MADIMBA,T,4
24,2041,MBANZA-NGUNGU,T,4
25,2024,MOANDA,T,4
26,2032,SEKE-BANZA,T,4
27,2042,SONGOLOLO,T,4
28,2031,TSHELA,T,4
29,4021,BASANKUSU,T,5
30,4024,BIKORO,T,5
31,4022,BOLOMBA,T,5
32,4027,BOMONGO,T,5
33,4023,INGENDE,T,5
34,4025,LUKOLELA,T,5
35,4026,MANKANZA,T,5
36,4063,BONGANDANGA,T,6
37,4062,BUMBA,T,6
38,4061,LISALA,T,6
39,4054,BOSOBOLO,T,7
40,4053,BUSINGA,T,7
41,4051,MOBAYI-MBONGO,T,7
42,4052,YAKOMA,T,7
43,4032,BUDJALA,T,8
44,4031,GEMENA,T,8
45,4033,KUNGU,T,8
46,4034,LIBENGE,T,8
47,4072,BEFALE,T,9
48,4071,BOENDE,T,9
49,4075,BOKUNGU,T,9
50,4073,DJOLU,T,9
51,4074,IKELA,T,9
52,4076,MONKOTO,T,9
53,9032,KAMONIA,T,10
54,9031,LUEBO,T,10
55,9034,MWEKA,T,10
56,9024,DEMBA,T,11
57,9021,DIBAYA,T,11
58,9025,DIMBELENGE,T,11
59,9023,KAZUMBA,T,11
60,9022,LUIZA,T,11
61,8022,KABEYA-KAMWANGA,T,12
62,8024,KATANDA,T,12
63,8023,LUPATAPATA,T,12
64,8021,MIABI,T,12
65,8025,TSHILENGE,T,12
66,8044,KABINDA,T,13
67,8042,KAMIJI,T,13
68,8046,LUBAO,T,13
69,8041,LUILU (MWENE-DITU),T,13
70,8043,NGANDAJIKA,T,13
71,8034,KATAKO-KOMBE,T,14
72,8032,KOLE,T,14
73,8035,LUBEFU,T,14
74,8036,LODJA,T,14
75,8033,LOMELA,T,14
76,8031,LUSAMBO,T,14
77,7076,KAMBOVE,T,15
78,7073,KASENGA,T,15
79,7071,KIPUSHI,T,15
80,7074,MITWABA,T,15
81,7075,PWETO,T,15
82,7072,SAKANIA,T,15
83,7055,BUKAMA,T,16
84,7053,KABONGO,T,16
85,7051,KAMINA,T,16
86,7052,KANIAMA,T,16
87,7054,MALEMBA-NKULU,T,16
88,7041,DILOLO,T,17
89,7043,KAPANGA,T,17
90,7034,LUBUDI,T,17
91,7033,MUTSHATSHA,T,17
92,7042,SANDOA,T,17
93,7064,KABALO,T,18
94,7061,KALEMIE,T,18
95,7065,KONGOLO,T,18
96,7063,MANONO,T,18
97,7062,MOBA,T,18
98,9035,DEKESE,T,10
99,7066,NYUNZU,T,18
100,6324,LUBUTU,T,19
101,6327,KABAMBARE,T,19
102,6321,KAILO,T,19
103,6326,KASONGO,T,19
104,6322,KIBOMBO,T,19
105,6325,PANGI,T,19
106,6323,PUNIA,T,19
107,6134,BENI,T,20
108,6133,LUBERO,T,20
109,6135,RUTSHURU,T,20
110,6136,MASISI,T,20
111,6137,NYIRAGONGO,T,20
112,6132,WALIKALE,T,20
113,5032,AKETI,T,21
114,5034,ANGO,T,21
115,5035,BAMBESA,T,21
116,5033,BONDO,T,21
117,5031,BUTA,T,21
118,5046,WAMBA,T,22
119,5036,POKO,T,21
120,5043,DUNGU,T,22
121,5044,FARADJE,T,22
122,5042,NIANGARA,T,22
123,5041,RUNGU,T,22
124,5053,DJUGU,T,23
125,5045,WATSA,T,22
126,5055,ARU,T,23
127,5051,IRUMU,T,23
128,5054,MAHAGI,T,23
129,5052,MAMBASA,T,23
130,5022,BAFWASENDE,T,24
131,5021,BANALIA,T,24
132,5027,BASOKO,T,24
133,5025,ISANGI,T,24
134,5024,OPALA,T,24
135,5023,UBUNDU,T,24
136,6244,MWENGA,T,25
137,5026,YAHUMA,T,24
138,6243,FIZI,T,25
139,6247,IDJWI,T,25
140,6248,KABARE,T,25
141,6246,KALEHE,T,25
142,6242,UVIRA,T,25
143,6241,WALUNGU,T,25
144,6245,SHABUNDA,T,25
145,9033,ILEBO,T,10
